rec_time	UTC	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:03.369	1644613610861		
00:00:03.377	1644613610869	708.46	656.104
00:00:03.378	1644613610870		
00:00:03.385	1644613610877		
00:00:03.394	1644613610886	710.047	649.796
00:00:03.402	1644613610894		
00:00:03.411	1644613610903	709.372	649.118
00:00:03.412	1644613610904		
00:00:03.419	1644613610911		
00:00:03.427	1644613610919	711.637	649.229
00:00:03.435	1644613610927		
00:00:03.444	1644613610936	710.778	648.27
00:00:03.445	1644613610937		
00:00:03.452	1644613610944		
00:00:03.461	1644613610953	709.611	649.274
00:00:03.469	1644613610961		
00:00:03.477	1644613610969	711.811	649.919
00:00:03.478	1644613610970		
00:00:03.485	1644613610977		
00:00:03.494	1644613610986	711.181	651.649
00:00:03.502	1644613610994		
00:00:03.511	1644613611003	710.248	650.201
00:00:03.512	1644613611004		
00:00:03.519	1644613611011		
00:00:03.527	1644613611019	711.864	651.78
00:00:03.535	1644613611027		
00:00:03.544	1644613611036	713.651	649.832
00:00:03.545	1644613611037		
00:00:03.552	1644613611044		
00:00:03.561	1644613611053	710.993	650.862
00:00:03.569	1644613611061		
00:00:03.577	1644613611069	711.355	652.972
00:00:03.578	1644613611070		
00:00:03.585	1644613611077		
00:00:03.594	1644613611086	710.493	651.34
00:00:03.602	1644613611094		
00:00:03.611	1644613611103	710.502	654.47
00:00:03.612	1644613611104		
00:00:03.619	1644613611111		
00:00:03.627	1644613611119	711.174	651.923
00:00:03.635	1644613611127		
00:00:03.644	1644613611136	710.102	654.72
00:00:03.645	1644613611137		
00:00:03.652	1644613611144		
00:00:03.661	1644613611153	711.653	653.697
00:00:03.669	1644613611161		
00:00:03.677	1644613611169	709.82	652.966
00:00:03.678	1644613611170		
00:00:03.685	1644613611177		
00:00:03.694	1644613611186	709.538	652.046
00:00:03.702	1644613611194		
00:00:03.711	1644613611203	711.374	654.594
00:00:03.712	1644613611204		
00:00:03.719	1644613611211		
00:00:03.727	1644613611219	711.796	652.657
00:00:03.735	1644613611227		
00:00:03.744	1644613611236	713.343	652.671
00:00:03.745	1644613611237		
00:00:03.752	1644613611244		
00:00:03.761	1644613611253	708.242	651.708
00:00:03.769	1644613611261		
00:00:03.777	1644613611269	714.926	654.103
00:00:03.778	1644613611270		
00:00:03.785	1644613611277		
00:00:03.794	1644613611286	709.839	651.786
00:00:03.802	1644613611294		
00:00:03.811	1644613611303	712.781	652.674
00:00:03.812	1644613611304		
00:00:03.819	1644613611311		
00:00:03.827	1644613611319	711.967	652.707
00:00:03.835	1644613611327		
00:00:03.844	1644613611336	712.221	654.799
00:00:03.845	1644613611337		
00:00:03.852	1644613611344		
00:00:03.861	1644613611353	710.559	653.23
00:00:03.869	1644613611361		
00:00:03.877	1644613611369	709.317	655.877
00:00:03.878	1644613611370		
00:00:03.885	1644613611377		
00:00:03.894	1644613611386	706.295	656.148
00:00:03.902	1644613611394		
00:00:03.911	1644613611403	708.943	657.85
00:00:03.912	1644613611404		
00:00:03.919	1644613611411		
00:00:03.927	1644613611419	709.349	655.767
00:00:03.935	1644613611427		
00:00:03.944	1644613611436	707.036	656.306
00:00:03.945	1644613611437		
00:00:03.952	1644613611444		
00:00:03.961	1644613611453	707.111	656.525
00:00:03.969	1644613611461		
00:00:03.977	1644613611469	709.346	658.002
00:00:03.978	1644613611470		
00:00:03.985	1644613611477		
00:00:03.994	1644613611486	704.911	655.354
00:00:04.002	1644613611494		
00:00:04.011	1644613611503	709.555	658.585
00:00:04.012	1644613611504		
00:00:04.019	1644613611511		
00:00:04.027	1644613611519	705.054	656.686
00:00:04.035	1644613611527		
00:00:04.044	1644613611536	708.509	657.202
00:00:04.045	1644613611537		
00:00:04.052	1644613611544		
00:00:04.061	1644613611553	708.781	653.712
00:00:04.069	1644613611561		
00:00:04.077	1644613611569	712.327	657.002
00:00:04.078	1644613611570		
00:00:04.085	1644613611577		
00:00:04.094	1644613611586	707.132	652.103
00:00:04.102	1644613611594		
00:00:04.111	1644613611603	709.617	653.179
00:00:04.112	1644613611604		
00:00:04.119	1644613611611		
00:00:04.127	1644613611619	709.821	654.118
00:00:04.135	1644613611627		
00:00:04.144	1644613611636	710.485	650.194
00:00:04.145	1644613611637		
00:00:04.152	1644613611644		
00:00:04.161	1644613611653	710.388	651.833
00:00:04.169	1644613611661		
00:00:04.177	1644613611669	713.486	649.973
00:00:04.178	1644613611670		
00:00:04.185	1644613611677		
00:00:04.194	1644613611686	714.278	651.908
00:00:04.202	1644613611694		
00:00:04.211	1644613611703	717.026	652.026
00:00:04.212	1644613611704		
00:00:04.219	1644613611711		
00:00:04.227	1644613611719	717.322	650.306
00:00:04.235	1644613611727		
00:00:04.244	1644613611736	713.127	651.448
00:00:04.245	1644613611737		
00:00:04.252	1644613611744		
00:00:04.261	1644613611753	715.44	650.721
00:00:04.269	1644613611761		
00:00:04.277	1644613611769	714.683	651.029
00:00:04.278	1644613611770		
00:00:04.285	1644613611777		
00:00:04.294	1644613611786	715.717	653.48
00:00:04.302	1644613611794		
00:00:04.311	1644613611803	710.973	651.394
00:00:04.312	1644613611804		
00:00:04.319	1644613611811		
00:00:04.327	1644613611819	712.927	651.593
00:00:04.335	1644613611827		
00:00:04.344	1644613611836	713.599	650.245
00:00:04.345	1644613611837		
00:00:04.352	1644613611844		
00:00:04.361	1644613611853	713.464	652.217
00:00:04.369	1644613611861		
00:00:04.377	1644613611869	709.598	650.192
00:00:04.378	1644613611870		
00:00:04.385	1644613611877		
00:00:04.394	1644613611886	710.539	652.165
00:00:04.402	1644613611894		
00:00:04.411	1644613611903	710.467	650.862
00:00:04.412	1644613611904		
00:00:04.419	1644613611911		
00:00:04.427	1644613611919	710.918	654.633
00:00:04.435	1644613611927		
00:00:04.444	1644613611936	710.216	651.291
00:00:04.445	1644613611937		
00:00:04.452	1644613611944		
